[2020-03-10T02:26:20.172Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 200 [response-time]: 4.016 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:26:20.175Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 200 [response-time]: 0.318 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:26:20.176Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/airport/get_airport HTTP/1.1 [status]: 200 [response-time]: 0.630 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:26:20.193Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/airport/get_airport HTTP/1.1 [status]: 304 [response-time]: 12.013 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:26:20.199Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 304 [response-time]: 15.847 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:26:20.200Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 304 [response-time]: 16.447 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:26:31.548Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/item/get_item HTTP/1.1 [status]: 200 [response-time]: 0.205 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:26:31.551Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/airport/get_airport HTTP/1.1 [status]: 200 [response-time]: 0.172 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:26:31.748Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/typeName/get_typeName_select HTTP/1.1 [status]: 200 [response-time]: 0.504 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:26:31.749Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/calender/get_calender_item HTTP/1.1 [status]: 200 [response-time]: 0.599 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:26:31.750Z] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/item/get_item HTTP/1.1 [status]: 200 [response-time]: 4.315 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:26:31.753Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/airport/get_airport HTTP/1.1 [status]: 304 [response-time]: 2.489 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:26:31.759Z] [ip]: ::ffff:127.0.0.1 - [method]: POST [url]: /api/v1/calender/get_calender_item HTTP/1.1 [status]: 200 [response-time]: 5.030 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:26:31.761Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/typeName/get_typeName_select HTTP/1.1 [status]: 304 [response-time]: 5.328 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:26:31.818Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/item/image/item_26.png HTTP/1.1 [status]: 304 [response-time]: 25.744 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:28:10.689Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 200 [response-time]: 0.254 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:28:10.690Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/item/get_item_all HTTP/1.1 [status]: 200 [response-time]: 0.243 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:28:10.692Z] [ip]: ::ffff:127.0.0.1 - [method]: OPTIONS [url]: /api/v1/airport/get_airport HTTP/1.1 [status]: 200 [response-time]: 0.236 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
[2020-03-10T02:28:10.696Z] [ip]: ::ffff:127.0.0.1 - [method]: GET [url]: /api/v1/item/get_item_status HTTP/1.1 [status]: 304 [response-time]: 1.023 ms [client]: Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/80.0.3987.132 Safari/537.36
